key,title,abstract$,nature,start-date,end-date,link,key:tutorial
tutorial-session-23,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2000/01/01 00:01,2000/01/01 02:00,http://Acme-L3.es/tutorial-sessions,tutorial-01
tutorial-session-24,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2100/12/31 21:59,2100/12/31 23:59,http://Acme-L3.es/tutorial-sessions,tutorial-01
tutorial-session-25,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2100/12/31 21:58,2100/12/31 23:58,http://Acme-L3.es/tutorial-sessions,tutorial-01
tutorial-session-26,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2021/08/10 15:00,2021/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-05
tutorial-session-27,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2022/07/29 23:59,2022/07/30 01:00,http://Acme-L3.es/tutorial-sessions,tutorial-07
tutorial-session-28,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2022/07/30 00:15,2022/07/30 05:15,http://Acme-L3.es/tutorial-sessions,tutorial-07
tutorial-session-29,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2023/08/10 15:00,2023/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-01
tutorial-session-30,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2022/08/01 20:00,2022/08/01 21:00,http://Acme-L3.es/tutorial-sessions?sample-query=1,tutorial-01
tutorial-session-31,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2022/08/01 20:00,2022/08/01 21:00,https://Acme-L3.es/tutorial-sessions,tutorial-01
tutorial-session-32,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2022/08/01 20:00,2022/08/01 21:00,ftp://Acme-L3:Acme@acme.org,tutorial-02
tutorial-session-33,First session,This session will act as part of the tutorial 1 sample,THEORETICAL,2022/08/10 15:00,2022/08/10 17:00,null,tutorial-02
tutorial-session-34,First session,This session will act as nature extra variation values for dashboard informal testing,HANDS_ON,2022/08/10 15:00,2022/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-06
tutorial-session-35,First session,This session will act as nature extra variation values for dashboard informal testing,HANDS_ON,2022/08/10 15:00,2022/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-06
tutorial-session-36,First session,This session will act as nature extra variation values for dashboard informal testing,HANDS_ON,2022/08/10 15:00,2022/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-08
tutorial-session-37,First session,This session will act as nature extra variation values for dashboard informal testing,HANDS_ON,2022/08/10 15:00,2022/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-08
tutorial-session-38,First session,This session will act as nature extra variation values for dashboard informal testing,THEORETICAL,2022/08/10 15:00,2022/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-10
tutorial-session-39,First session,This session will act as nature extra variation values for dashboard informal testing,HANDS_ON,2022/08/10 15:00,2022/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-10
tutorial-session-40,First session,This session will act as nature extra variation values for dashboard informal testing,HANDS_ON,2022/08/10 15:00,2022/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-06
tutorial-session-41,First session,This session will act as nature extra variation values for dashboard informal testing,HANDS_ON,2022/08/10 15:00,2022/08/10 17:00,http://Acme-L3.es/tutorial-sessions,tutorial-06
